Bill No.,Year,Short Title of Bill,Ministry,Date of Introduction,Date of Introduction Proper,Date of Passing in Lok Sabha,Date of Passing in Lok Sabha Proper,Date of Passing in Rajya Sabha,Date of Passing in Rajya Sabha Proper,Diff RS-LS,Diff RS-LS Cleaned,Date of Assent,Date of Assent Proper,Diff Ass-LS,Diff Ass-LS Clean,Act No.,Bill Category,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL of Errata
43,2000,"The Appropriation (Railways) Vote on Account Bill,  2000                                                                                                                                                ",RAILWAYS,15-03-2000,3/15/2000,15-03-2000,3/15/2000,16-03-2000,3/16/2000,1,1,27-03-2000,3/27/2000,12,12,3,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/43_2000.pdf,NA,NA
45,2000,"The Appropriation (Railways) Bill, 2000.                                                                                                                                                                ",RAILWAYS,15-03-2000,3/15/2000,15-03-2000,3/15/2000,16-03-2000,3/16/2000,1,1,27-03-2000,3/27/2000,12,12,4,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/45_2000.pdf,NA,NA
46,2000,"The Appropriation (Vote on Account) Bill,2000                                                                                                                                                           ",NA,16-03-2000,3/16/2000,16-03-2000,3/16/2000,16-03-2000,3/16/2000,0,0,27-03-2000,3/27/2000,11,11,5,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/46_2000.pdf,NA,NA
48,2000,The Appropriation Bill 2000                                                                                                                                                                             ,NA,16-03-2000,3/16/2000,16-03-2000,3/16/2000,16-03-2000,3/16/2000,0,0,27-03-2000,3/27/2000,11,11,6,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/48_2000.pdf,NA,NA
50,2000,"The Cotton Cloth (Repeal) Bill, 2000                                                                                                                                                                    ",TEXTILES,18-04-2000,4/18/2000,5/5/2000,5/5/2000,26-07-2000,7/26/2000,82,82,8/11/2000,8/11/2000,98,98,25,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/50_2000.pdf,NA,NA
51,2000,"The Cotton Textiles Cess (Repeal) Bill,2000                                                                                                                                                             ",TEXTILES,18-04-2000,4/18/2000,5/5/2000,5/5/2000,NA,NA,NA,0,6/9/2000,6/9/2000,35,35,19,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/51_2000.pdf,NA,NA
77,2000,"The Appropriation (Railways) No.2 Bill,2000                                                                                                                                                             ",RAILWAYS,19-04-2000,4/19/2000,19-04-2000,4/19/2000,5/3/2000,5/3/2000,14,14,5/10/2000,5/10/2000,21,21,9,Money Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/77_2000.pdf,NA,NA
78,2000,"The President`s Emoluments and Pension (Amendment) Bill, 2000                                                                                                                                           ",HOME AFFAIRS,20-04-2000,4/20/2000,28-04-2000,4/28/2000,15-05-2000,5/15/2000,17,17,24-05-2000,5/24/2000,26,26,14,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/78_2000.pdf,NA,NA
82,2000,"The Direct-Tax Laws (Miscellaneous) Repeal Bill, 2000                                                                                                                                                   ",NA,24-04-2000,4/24/2000,5/10/2000,5/10/2000,NA,NA,NA,0,6/9/2000,6/9/2000,30,30,20,Financial Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/82_2000.pdf,NA,NA
83,2000,"The Insecticides (Amendment) Bill, 2000                                                                                                                                                                 ",AGRICULTURE,24-04-2000,4/24/2000,5/8/2000,5/8/2000,24-07-2000,7/24/2000,77,77,8/5/2000,8/5/2000,89,89,23,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/83_2000.pdf,NA,NA
